"CONTEXT","INFERENCE","LABEL","CONTEXT_FROM","INFERENCE_FROM"
"A woman wearing a vibrant pink overcoat and a black dress.","A woman wearing a vibrant green overcoat and a black dress.","1","snli","snli"
"A vendor and customer discussing products and pricing at a mall kiosk.","people discuss price","5","snli","snli"
"Ronald dropped his toothbrush into the toilet","The toothbrush is a brush .","5","roc","joci"
"A man in a blue and white shirt shows concern for a girl in a suv.","A man shows something to a woman","3","snli","snli"
"Such a beautiful day for a solitary snorkeling expedition.","There is water nearby.","5","snli","snli"
"The local supermarket had a deal on ham","The deal is an agreement .","5","roc","joci"
"The man is comfortable sleeping knowing his chickens will sound the alarm.","The man is comfortable sleeping.","5","snli","snli"
"Drum kit cymbals sit under a microphone while a guitarist and some other people are in the background.","The drum kit cymbals belong to the drummer.","5","snli","snli"
"A film crew documents a female track-and-field athlete in the act of throwing a javelin .","A person is the collegiate leader in the javelin .","3","snli","joci"
"A man controlling a dog sled approaches another dog sled team in a narrow, snowy passageway between two sets of trees.","a controller of dog sled approaches another dog sled team","5","snli","snli"
"Carl got a brand new truck from the dealership","He took it to a muddy road he had heard of.","3","roc","roc"
"A public speaker in a plaid shirt speaks on the microphone .","The speaker is an articulator .","5","snli","joci"
"Brian became furious glaring at the black screen of his monitor","He didn't have time to deal with going to a computer doctor.","4","roc","roc"
"MeGan tried her friend 's doorbell but nothing happened","The doorbell is a push button .","5","roc","joci"
"Chinese traditional vehicle with their specials.","Chinese buses and cars in a traffic jam.","2","snli","snli"
"The man lifted the heavy box.","He put out his back.","3","copa","copa"
"A man stands with his parrot while passersby look on amused.","An old seacaptain tells tales of being a sea with his parrot on his shoulder to passers-by","3","snli","snli"
"A tornado came through the town.","The roof of the courthouse blew off.","4","copa","copa"
"A large group of people that look korean riding on a train in the middle of the wilderness during the fall.","The people are on a train to another city.","3","snli","snli"
"Jane was looking for new clothes for her spring wardrobe","She didn't have much money, so she decided to go to a thrift store.","3","roc","roc"
"Lucy was bored watching TV with her grandpa","Grandma came into the room.","3","roc","roc"
"One day Jordyn was watching her fish Richard - swim - in his tank","Grabbing her purse, Jordyn ran to her car and drove to the petstore.","3","roc","roc"
"A man in white swimming trunks rides a wind sail .","The sail is a structure .","5","snli","joci"
"Six people tend to various chores and responsibilities on board a sailing ship while it's docked in a harbor; while three of the men appear to be dressed in normal clothes like jeans and plain or striped shirts, the other two men and the woman are dressed as pirate characters.","The ship is docked to pick up passengers.","3","snli","snli"
"The Lee family was having appliances installed","The appliances are durables .","5","roc","joci"
"A man with a white construction hat , yellow vest , orange undershirt , and jeans , standing near a large white truck and orange safety cones .","The undershirt is an undergarment .","5","snli","joci"
"A young girl is fishing with some elderly people, possibly her grandparents.","a girl caught big fish","3","snli","snli"
"A spoof drag queen dances on a bands stage.","A drag queen is preforming.","5","snli","snli"
"The friends decided to share the hamburger.","They ordered fries with the hamburger.","4","copa","copa"
"Tim was shopping for jeans","The only pair on sale left were purple though.","3","roc","roc"
"A group of people watches a boy on a skateboard launch off a ramp.","People are watching a boy skateboard.","5","snli","snli"
"Two men are giving shoeshines in an outdoor setting.","Two people shoeshining.","5","snli","snli"
"A little girl wearing a pink and white striped bib is eating oatmeal at a restaurant table .","The oatmeal is a porridge .","5","snli","joci"
"Scientists frantically research ways to finally eliminate male baldness .","The baldness are hairlessness .","5","snli","joci"
"The girl performed in a dance recital.","Her parents showed her how to dance.","4","copa","copa"
"A young boy in a blue fleece walk on a path toward a bridge.","A young boy is walking on a path outside.","5","snli","snli"
"Lucy spilled bleach on her favorite jeans","It was her first time working with bleach.","3","roc","roc"
"Jonathan wanted an ice cream cone","A hole whacks off the cone .","1","roc","joci"
"A man sits behind two cardboard canvasses.","The man is sitting.","5","snli","snli"
"Eloise decided to confront her eating disorder","The disorder is a condition .","5","roc","joci"
"A woman wearing headphones enjoys her coffee while writing on a notepad.","A woman is listening to music.","4","snli","snli"
"Dan noticed that his hair was started to develop dandruff","Dan went to the local store to buy a special shampoo.","3","roc","roc"
"Jon needed fill up his car tank with gas","While the tank was filling up, he decided to smoke.","3","roc","roc"
"Woman attempting to complete a spare in bowling using a red ball.","The woman is having fun at the bowling alley.","4","snli","snli"
"A black-haired man drives a red Coca Cola truck down a highway , with tall green Palmettos on his right hand side .","The Palmettos is a fan palm .","5","snli","joci"
"The bride got cold feet before the wedding.","She called the wedding off.","4","copa","copa"
"Jerry spent thousands of dollars on a high end computer","He took pictures of everything and posted them on a gaming forum.","3","roc","roc"
"A man wearing glasses is looking at an electronic device wile holding a lollipop.","A child has a smartphone and nothing else.","1","snli","snli"
"An old man is drinking a bottle of amber liquid .","The liquid is a fluid .","5","snli","joci"
"Carl was having a lot of trouble with his neighbor a - cranky old man","Whenever Carl left his house, the old man complained about something.","3","roc","roc"
"The monster truck driver eyed the ramp for his next stunt","He hit the gas and flew 30' in the air over a line of cars.","3","roc","roc"
"Minnie was a 10-year-old cat who lived with her owners","One day, her owners decided to adopt a new kitten.","4","roc","roc"
"A young boy in a blue shirt examining a baby crocodile while at the zoo .","A person is moved to the zoo .","2","snli","joci"
"Female wearing a red and white flowered bikini is doing a cartwheel on a sandy beach .","The cartwheel is a dollar .","1","snli","joci"
"Jack was with his aunt at an amusement park","Jack filled up on pickles and lemonade.","3","roc","roc"
"A woman walking down the street is carrying a knight in shining armor.","There is a women holding a large suit of armor","5","snli","snli"
"Ryan wanted to give Darcy a massage","She sat on the floor in front of his chair.","3","roc","roc"
"Three people walking through a ravine between two rocky cliffs.","Two men and a woman hike near cliffs.","3","snli","snli"
"Man in blue jack , sleeping or passed out on a red public bench .","The jack is edible fruit .","1","snli","joci"
"One day I was out mowing my lawn","I spotted some kids playing across the street.","4","roc","roc"
"Tam wanted to join the army","He went to the recruitment center to apply.","5","roc","roc"
"Anna was out playing in the snow","She was cold and wet.","4","roc","roc"
"When mike was little he had a pet chicken","He lived on a farm with different animals but that was his favorite.","4","roc","roc"
"A small young girl in a pink shirt drinking a large chocolate milkshake .","The milkshake is a drink .","5","snli","joci"
"The immigrants were caught illegally residing in the country.","They found employment.","3","copa","copa"
"The CEO of the company resigned.","The board of directors found his replacement.","5","copa","copa"
"Three children , two boys and one girl , are standing behind bars with their mouths open like they are screaming .","The open is an area .","5","snli","joci"
"A pastor on a cellphone in front of a stone building with five officers wearing green uniforms; two are standing while the others are seated.","The man is indoors.","1","snli","snli"
"A football game between a gold team and a white team, a team member from the gold team is signing a time-out.","A group of boys are dressed in hockey equipment standing around in a hockey rink.","2","snli","snli"
"The girl is feeding the bird with surprise .","The surprise is a disruption .","4","snli","joci"
"The room was dim.","I opened the blinds.","3","copa","copa"
"A smiling redheaded woman wearing a blue top and jeans stands beside a white fridge and stove in a small kitchen space .","The fridge is a refrigerator .","5","snli","joci"
"The doctor told me I was too fat","He gave me an exercise program.","3","roc","roc"
"The bully stuck his foot out in front of his classmate.","The bully's classmate tripped.","4","copa","copa"
"A man uses a projector to give a presentation .","The projector breaks down .","3","snli","joci"
"The girl stepped on the ice.","She shivered.","4","copa","copa"
"An African family stands in the middle of a group of hay huts with plastic overlays.","a family is standing","5","snli","snli"
"A kid is using a screwdriver on what looks to be a typewriter .","The screwdriver is a hand tool .","5","snli","joci"
"At a convention , a man takes a phone call behind the booth where he is selling things while others examine his merchandise .","The convention is an assembly .","3","snli","joci"
"Kate made a snazzy outfit for the first day of school","A person wears the outfit .","5","roc","joci"
"5 people are in a room with a bookcase and chairs, 2 standing and 3 sitting.","A group of people are indoors.","5","snli","snli"
"Three girls walk under an arbor on a path surrounded by trees .","The arbor is a framework .","4","snli","joci"
"Small dog seeks comfort from his owner in this shopping scene.","The owner is with their dog","5","snli","snli"
"I stood on one foot.","I kneeled down.","2","copa","copa"
"Jenny had been doing a couch to 5k preparation","The couch is a seat .","5","roc","joci"
"A military man training his dog for combat.","A cat is wearing a hat.","2","snli","snli"
"Billy watched his chef at work cut some carrots","Billy was knife skills were slow.","3","roc","roc"
"Several young people adults sit around while a middle-eastern band prepares to play keyboard, drums, violin and a mandolin.","there are no young adults","1","snli","snli"
"A man sitting on the grounding holding a little boy that is sleeping in his lap .","The grounding is an education .","1","snli","joci"
"Six people tend to various chores and responsibilities on board a sailing ship while it's docked in a harbor; while three of the men appear to be dressed in normal clothes like jeans and plain or striped shirts, the other two men and the woman are dressed as pirate characters.","The group of people are working on the sailing ship.","5","snli","snli"
"A 5 dog race where all the dogs have mussels .","The mussels are a bivalve .","5","snli","joci"
"A boy wearing a skullcap is sitting in a chair next to a table with a pink tablecloth .","The skullcap is a cap .","5","snli","joci"
"A Indian women displaying her cultural heritage with painted red fingers and an extravagant head piece.","A woman is ready for a national cultural celebration.","3","snli","snli"
"Jasper was always into science fiction even - at 17","Girls his age wanted nothing to do with him.","3","roc","roc"
"A hairline crack ran down the middle of the glass","Wren noticed it as she put her wine glass down.","3","roc","roc"
"A man driving a small golf cart down a street with a crowd watching him on either side of the street .","The golf is an outdoor game .","5","snli","joci"
"Jim wanted to visit family in his hometown","A person leaves the hometown .","3","roc","joci"
"The woman punched her attacker in the nose.","The attacker's body went lifeless.","3","copa","copa"
"Liz 's babysitter told her that dragons and fairies were n't real","Residents search for the babysitter .","2","roc","joci"
"Last night Ellie needed to get milk from the grocery store","She drove through the winding roads to get to town.","3","roc","roc"
"A woman holds a little girl next to a large wooden carving of a bear .","The carving is a sculpture .","5","snli","joci"
"I misplaced my wallet.","I retrieved my phone.","3","copa","copa"
"A man stands with his parrot while passersby look on amused.","A man sits in a tavern with a flamingo in his lap","1","snli","snli"
"The woman hit a midlife crisis.","She went sky diving.","4","copa","copa"
"A young lady wearing a turquoise colored bustier over a black shirt, a black skirt, netted tights, and laced up gloves is sitting next to five other young ladies, most of which are also dressed in black colored fitted clothing.","A group of ladies sit together.","5","snli","snli"
"The man contemplated the painting.","He collapsed.","2","copa","copa"
"A church choir is performing a Christmas carol while a projector in the background displays the lyrics.","A Jewish choir is performing a Christmas carol.","1","snli","snli"
"A man collecting driftwood along side a body of water.","A human collecting","5","snli","snli"
"A young man is gaining power to hit a punching bag as his peers watch from behind him.","A man practices his boxing at the gym.","3","snli","snli"
"Beth wanted to make some brownies","After gathering the ingredients, Beth mixed the ingredients.","5","roc","roc"
"Tam wanted to join the army","The army is a military service .","5","roc","joci"
"Marathon runners sprinting past a Walgreen 's on their journey to the finish line .","The journey begins with a step .","5","snli","joci"
"There is a man wearing construction gear, standing next to a bulldozer that is picking up rubble and debris.","The worker is wearing protective gear.","5","snli","snli"
"four people in a snow covered field with hacksaws .","The hacksaws are a saw .","5","snli","joci"
"An upset woman with her makeup streaming down her face from her tears.","A women is crying because of a recent breakup.","3","snli","snli"
"A man and child working on a puzzle .","An inspector says work on the puzzle .","2","snli","joci"
"A woman in a gray kimono walks past a black car in the middle of a crowded street full of Japanese signs , with a man in an orange shirt and khaki slacks .","A person loves to buy the kimono .","3","snli","joci"
"A man with a ponytail wearing a blue collared shirt is playing an instrument's mouthpiece.","The man is performing in an orchestra.","3","snli","snli"
"Amy and Kim were jumping on the trampoline in Kim 's yard","Amy jumped high, and ended up stepping on the ledge.","4","roc","roc"
"A sidewalk sideshow performs for a little boy .","A person provides the sideshow .","4","snli","joci"
"Cornelius realizes he does n't have any hobbies","He decides he needs something to do outside of work.","5","roc","roc"
"A woman on the beach is covered in seaweed .","The seaweed adds nothing .","3","snli","joci"
"A parasurfer gets pulled up above and to the side of a big splash he just made.","The guy is having fun.","4","snli","snli"
"Woman with yellow button up shirt and jeans is making beautiful pottery etchings into one of her works of art.","a woman is making pottery .","5","snli","seq2seq"
"A baby eats his spaghetti with his hands .","The spaghetti becomes a favorite on a menu .","2","snli","joci"
"A young man in a blue poncho smoking a cigarette .","The poncho is a cloak .","5","snli","joci"
"An airline flight crew member stands by the steps to an airliner.","The flight crew member gets ready to prepare the plane","4","snli","snli"
"Children pass a baton during a relay run .","The baton is a rod .","5","snli","joci"
"A woman sits hidden in the dried stray awaiting an animal in the wild.","a man stands out in the open in dry stray waiting for a wild animal","3","snli","snli"
"Torch-bearing runner , about to be photographed by onlooker , enjoys the smiles and shouts of the crowd .","The shouts grow .","3","snli","joci"
"The skier is sliding on his side as he attempts the slalom","A person is third in the slalom .","3","snli","joci"
"Amish looking people are outside a building, standing near a tree.","The building is near a tree.","5","snli","snli"
"People are in a room discussing around a computer printer.","People are talking to each other.","5","snli","snli"
"A small crowd of people gather in a desert in a poor village.","People are in a village.","5","snli","snli"
"When Kia was 6 Year 's old she - decided to make her own lunch","She boiled eggs, and placed the eggs in her lunch box.","3","roc","roc"
"An elderly women dressed in pink and blue knits .","The knits are a needlework .","5","snli","joci"
"Tim and Juan were playing putt putt","They were at the 17th hole and the score was even.","3","roc","roc"
"A dark-skinned man in traditional African garb stares into the camera, his right eye appears to have a cataract.","A man is attending a party.","3","snli","snli"
"A contortionist is doing a move on stage for people.","A person bends their body unlike most people.","5","snli","snli"
"The car looked filthy.","He owner took it in for a paint job.","2","copa","copa"
"Two professional soccer players , one dressed in red top and black shorts , the other in blue top and white shorts , compete for control of ball .","The control is an activity .","4","snli","joci"
"A bare headed man wearing a dark blue cassock, sandals, and dark blue socks mounts the stone steps leading into a weathered old building.","A man is skateboarding in front of a weathered building.","2","snli","snli"
"Arin was driving his new motorcycle","The motorcycle is a motor vehicle .","5","roc","joci"
"The boxer hits his opponent in the head with a mighty punch.","The boxer hugs his opponent.","2","snli","snli"
"A young girl pets a brown doe in the sunshine.","A young boy pets a brown doe in the sunshine.","1","snli","snli"
"Fiona thought it would be best if she broke up with her boyfriend","Fiona tried to break the news to him gently, but in a public place.","4","roc","roc"
"A tourist walks down the street, camera in hand, trying to find something worthy of a photo.","A human walking","5","snli","snli"
"A ceremony with one man speaking and another man adjusting the robes on other person whose faces is partially covered being held in a mosque with many observers .","The mosque is a place of worship .","5","snli","joci"
"A friend of the family has an old farm","He's way out in the country, and coyotes come around.","3","roc","roc"
"Two men on rollerskates are facing one another as others are passing them or coming upon them as an audience watches their interaction.","The men are passing them.","5","snli","snli"
"A lone hiker is sitting on a rock on a snowy mountain trail .","The trail is a path .","5","snli","joci"
"A person is preparing to send a piece of paper through a paper shredder.","A person is eating a meal.","2","snli","snli"
"Ben was resting in his dog cage all day","The cage is a net .","1","roc","joci"
"A man tells a story as he sits among friends and a couple pints of beer.","A guy is telling something to people.","5","snli","snli"
"The woman had a religious awakening.","She began travelling abroad.","3","copa","copa"
"A woman sat down to do her taxes","It took several hours.","5","roc","roc"
"Two gondolas passing in a canal.","two farmers are outdoors .","2","snli","seq2seq"
"My aunt took a family portrait of everyone at the party","I took a look at the photo after it was processed.","4","roc","roc"
"A caterer preparing food at an outdoor venue, with many dished on display.","There is a lot of food on display at the outdoor venue.","5","snli","snli"
"A woman in a dimly lit room looks through her microscope and adjusts the vision .","The vision is an exteroception .","3","snli","joci"
"A young person, wears red sandals, black pants and a blue shirt, his head and face covered with a checked scarf and carrying a rocket launcher.","Someone is planning to attack using a rocket launcher.","3","snli","snli"
"Noah worked as a waiter in a fancy restaurant","But one night it was very busy!","5","roc","roc"
"Harry bought a dictionary and read it all night","Harry used all sorts of fancy words that his friends didn't know.","4","roc","roc"
"Ali had an enemy named Val","A person removes the enemy .","3","roc","joci"
"A man in a white shirt and a denim pants reading some postings on the board.","A man is reading posts on a board.","5","snli","snli"
"Tin wrote a great poem in English class","The poem has to be reconstructed .","3","roc","joci"
"I was furious.","I checked the mailbox upon leaving the house.","2","copa","copa"
"A man dressed as ""Teen Wolf"" hugs a woman made up like a vampire.","A couple is an a costume party","3","snli","snli"
"The string quintet plays for an audience.","A play is happening in front of an audience and they are enjoying it","3","snli","snli"
"two children in a field of red poppies","Two brothers are in a garden.","2","snli","snli"
"A woman is using clothespins to hang up laundry outside on a laundry line .","The clothespins consist of a pair .","3","snli","joci"
"a boy wearing orange jumps from haystacks.","The boy is playing on a farm.","4","snli","snli"
"Ricky was a fantastic musician","The musician is a performer .","5","roc","joci"
"People wonder why rappers move to Europe","The reason is the club scene is better in Europe than America.","4","roc","roc"
"The jones family went to the lake every summer","The lake is a pigment .","1","roc","joci"
"A man squatted on a rooftop cleans the rain gutters with a hose.","A man on a ladder is painting his house.","1","snli","snli"
"A meteorite landed in the ocean.","It began to hail.","2","copa","copa"
"A grandpa and granddaughter are playing in the backyard.","A grandpa and granddaughter are watching television inside.","1","snli","snli"
"A child is holding a cleanser in front of an oven.","A child is about to clean the oven.","4","snli","snli"
"The jones family went to the lake every summer","Unfortunately their boat was vandalized one winter.","3","roc","roc"
"Author in green hat doing a book signing.","An author in a green hat is signing books","5","snli","snli"
"Cleaning out the house was a daunting task","Her whole life, she had never thrown anything away.","5","roc","roc"
"An African family stands in the middle of a group of hay huts with plastic overlays .","A wife marvels over the overlays .","3","snli","joci"
"Walking home in the pouring rain Ann - wished she had an umbrella","She covered her head with a newspaper, but still became wet.","4","roc","roc"
"I use a cane to walk","My cane had slippery rubber tips and wore down quickly.","4","roc","roc"
"The girl whispered back and forth to each other at the lunch table.","Other students at the lunch table felt left out.","4","copa","copa"
"woman and little girl wearing red in Asian area","The woman is the girls mother","3","snli","snli"
"I really wanted some chicken wings","The wings are a hockey player .","1","roc","joci"
"The girl wanted to learn about the solar system.","She went to the library.","4","copa","copa"
"The man unlaced his shoes.","The shoes became worn.","3","copa","copa"
"The mailman delivered my set of new acne products","The products are a quantity .","4","roc","joci"
"I let my girlfriend pick out a movie last night","She picked a romantic comedy.","3","roc","roc"
"Sam was taking a nap in his living room","He awoke to something wet on his face.","3","roc","roc"
"The woman's ring slipped off in the shower.","The ring went down the drain.","4","copa","copa"
"A young boy and girl wearing coats , hats , and boots are at the beach looking at something that they found .","The found is an act .","4","snli","joci"
"Nate was working on a batch of low paying tasks","This one was pretty easy and Nate began to copy it.","4","roc","roc"
"A rugby player attempts to break free of an opposing player with both teams closing in.","there are people playing sports .","5","snli","seq2seq"
"A man in a white shirt has his mouth open and is adjusting dials .","The dials are a selector .","5","snli","joci"
"The man caught his shirtsleeve on the rungs of the fence.","The sleeve ripped.","4","copa","copa"
"Drum kit cymbals sit under a microphone while a guitarist and some other people are in the background.","The drum kit cymbals are back stage.","3","snli","snli"
"Three woman walk , in their hijab , alone in an area of Muslim denomination .","The denomination is a nongovernmental organization .","4","snli","joci"
"Jason and three friends went fishing in Colorado","A second guy, however, said he once caught 100-pound Trout.","3","roc","roc"
"A man in a blue suit pulling a wheeled suitcase stands looking around on a airport conveyor belt in front of a large departure and arrival display screen .","The departure is imminent .","5","snli","joci"
"I was lost.","I unfolded a map.","3","copa","copa"
"Three men in a casual band are getting ready to play in a small joint- one on the drums, one on guitar, and the third on keyboard.","A band comprised of three men is getting ready to play a gig.","5","snli","snli"
"Halley knew that her parents had a big surprise in store for her","Her 21st birthday was coming up and she couldn't wait to find out.","3","roc","roc"
"A woman wearing a black hat grinds flour using two stones .","People stock up on the flour .","3","snli","joci"
"One day we heard that a moose had been spotted in our neighborhood","That afternoon we drove past one of our horse pastures.","3","roc","roc"
"The papers were disorganized.","I made photocopies of them.","3","copa","copa"
"A person in a purple jacket is squatting around several moose.","A person is sleeping.","1","snli","snli"
"Sarah was in a hurry to get to work on time","She waved down passing cars to see if she could get help.","3","roc","roc"
"Three friends rode their jet skis down the coast of New Jersey","There was a big wave that they all managed to ride on together.","3","roc","roc"
"Two people are fighting in full protective gear and helmets .","The gear is equipment .","5","snli","joci"
"Jim worked at an ice cream factory as the foreman","He tried his best to stop it from happening but it just kept coming.","0","roc","roc"
"Joe watched his family sitting around to avoid the heat","Joe went to the store and bought an above ground pool.","3","roc","roc"
"A man with a black sombrero is riding a bull inside an arena .","The arena is favorable .","3","snli","joci"
"Drew arrived to the dentist early in the morning","He filled one of Drew's cavity.","3","roc","roc"
"Jake wanted to learn how to juggle so - he taught himself","After a few months of practice, he was capable of juggling well.","4","roc","roc"
"Strolling down path to nowhere.","Some humans strolling","4","snli","snli"
"A woman and man walking down a street in an Asian locale.","A dog is walking down a railroad.","1","snli","snli"
"I had to give my dog a bath","I caught him after a chase.","3","roc","roc"
"Gene loved to have his grandchildren over","He just hated the night time.","2","roc","roc"
"A man is running behind a dogsled being pulled by four dogs .","The dogsled is a sled .","5","snli","joci"
"The businessman's credit card got declined.","He wrote an IOU.","2","copa","copa"
"A man in a Tyrolean hat decorates a tan and white cow with ribbons and evergreen while a woman holds the cow's head.","A cow struggles as people decorate it.","3","snli","snli"
"Blond child is learning self deference.","The child is blond.","5","snli","snli"
"Gray , dappled dog with muzzle and yellow shirt marked 6 , runs on track .","The 6 is a digit .","4","snli","joci"
"The bodybuilder lifted weights.","Her muscles became fatigued.","4","copa","copa"
"A woman stands outside near an elaborate chalk illustration .","The illustration is a representation .","4","snli","joci"
"Bob wanted to learn how to play the drums","He decided to hire a tutor.","4","roc","roc"
"A woman in a green shirt is working on a horse's hoof.","A woman is riding an elephant.","2","snli","snli"
"Two joggers on a tree lined path.","Men are playing poker.","1","snli","snli"
"Three blokes digging in the desert.","a few people digging","5","snli","snli"
"I entered my combination on the lock.","I shut the lock.","3","copa","copa"
"Three children play together and act like celebrities with their props.","Three kids are playing.","5","snli","snli"
"Alex needed to fax his ID to his workplace","So far, his boss hadn't received anything.","3","roc","roc"
"Two coast guard officers out on a training mission.","Two coast guard workers are practicing a safety training drill.","5","snli","snli"
"Drew thought there would be enough time to explore the arguments ' mass","The mass of details Drew discovered was overwhelming.","3","roc","roc"
"Presenters speaking at conference.","people giving an award","2","snli","snli"
"Two dogs fighting, one is black, the other beige.","Two animals are fighting.","5","snli","snli"
"Flaming series the - band is - making a music video","The series is an ordering .","5","roc","joci"
"12 family photos on a shelf with a yellow , red , green , and purple flower wreath in front of it .","A government allocates the wreath .","2","snli","joci"
"Eloise decided to confront her eating disorder","She went to a professional for help.","5","roc","roc"
"Former New Mexico governor , Bill Richardson in the middle east giving a speech .","The governor is a control .","4","snli","joci"
"Today was Dave 's very first auction","He was excited and nervous.","4","roc","roc"
"A man in coveralls is maintaining a locomotive.","A conductor readies the engine prior to departure.","3","snli","snli"
"A yellow sign advertises insurance in Spanish .","The insurance is a protection .","5","snli","joci"
"Cubs fans have paper bags on their heads that spell out ""CUBS.""","A group of boys are dressed like tiny bears in a forest.","1","snli","snli"
"The grape juice fermented.","The juice evaporated.","2","copa","copa"
"Several people wait to checkout inside a store with a warehouse looking ceiling .","The ceiling is high .","5","snli","joci"
"Someone left a box of kittens outside of Valerie 's work","When she found them, she was so upset.","4","roc","roc"
"Men dressed in camouflage assist in helping clean up a grassy area.","men are outside .","5","snli","seq2seq"
"A person is sitting under the ceiling and working on architectural restoration .","The restoration is an improvement .","5","snli","joci"
"A person being dressed in clothing with feathers and sequins.","the person is wearing clothes .","5","snli","seq2seq"
"Two elderly men are building a stone cottage wall in front of a blue cottage.","Two men are using wood to build a fence near a dog house.","1","snli","snli"
"A man empties a bag of white crystals into a swimming pool.","The male is adding chlorine to the pool.","4","snli","snli"
"The motorist driving a Toyota Camry is approached on a heavily congested road by a solicitor wearing a knit cap, read T-shirt, and blue lightweight jacket.","woman cooks eggs at home","1","snli","snli"
"Three black runners in different uniforms run at varying paces at a racetrack."," Three black runners competing on a racetrack.","5","snli","snli"
"A young man is swinging his tennis racket with control , and persistence","The persistence is a determination .","4","snli","joci"
"Ballplayers in blue and white uniforms are on the field playing baseball .","The ballplayers seek an asylum .","2","snli","joci"
"Miley 's mother asked her to write a Christmas list","She sat down and wrote all the things she wanted for Christmas.","4","roc","roc"
"After a great performance, these performers bow down in respect of the audience.","The performers of this show have never respected the audience.","1","snli","snli"
"Lance was stuck in traffic","He was fed up, and got out of his car to see what the big deal was.","3","roc","roc"
"Ladies attending a medical seminar.","Ladies attending seminar","5","snli","snli"
"Eli really wanted to have his wedding in the park","The wedding is a ceremony .","5","roc","joci"
"He is loving the quietness of his music .","A spectator breaks the quietness .","3","snli","joci"
"A man sitting and snapping peas .","The peas smell like a camp .","2","snli","joci"
"A woman painting a palace and the landscape.","A woman is painting a palace.","5","snli","snli"
"Sam ran through the empty office to his cubicle","He forgot his briefcase at his desk.","4","roc","roc"
"At the end of a long alley there are two people walking .","The end is a content .","1","snli","joci"
"A woman with a red and orange apron makes paper-mache orbs while her friend leans into the frame.","A women and friend going crafts","4","snli","snli"
"My brother was released from the hospital.","I welcomed him back home.","4","copa","copa"
"Tommy wanted a goat","His dad said no.","3","roc","roc"
"A city held a special election for a bond initiative","The election is a choice .","5","roc","joci"
"Ness wanted to throw a surprise party for her sister","Then she decorated the house while her sister was out.","5","roc","roc"
"Two men are engaged in dialogue while sitting on a bench","Two men talk while sitting on the bench.","5","snli","snli"
"Two children display a stone with dialect on it while people in the background are reading.","two kids reading from a stone","5","snli","snli"
"A scientist performs a lab test using fresh raw eggs.","The scientist were watching tv","2","snli","snli"
"A group of restaurant workers and a large copper bowl.","A group of restaurant workers and a large bowl","5","snli","snli"
"The group overlooked the woman's faux pas.","The woman was relieved.","4","copa","copa"
"Alex needed to fax his ID to his workplace","He had already tried an e-fax two times.","3","roc","roc"
"Amy needed new shorts for volleyball","The volleyball is a ball .","5","roc","joci"
"A large cloud formed in the sky over Ben 's workplace","The cloud darkened and rain fell hard on the ground.","4","roc","roc"
"Two men climb stairs, one of which is wearing a shirt that says ""nerd"" on it.","Two men on the stairs.","5","snli","snli"
"trick or treaters are sitting on the side of a porch .","The treaters speak on a condition .","2","snli","joci"
"Mike was a successful writer but - had gotten sick of writing","Mike went home and decided to try to do something else.","4","roc","roc"
"A white man is seen in a swimming pool floating above many floating devises .","A person dodges the devises .","3","snli","joci"
"Man in red looks at the butcher shop offerings for the day .","The offerings are successful .","3","snli","joci"
"A woman wearing an elaborate array of feathers in her hair , a bead necklace , a medallion , and an aqua , brown , and olive-green dress and looks off to her left , smiling slightly .","The medallion is a coin .","3","snli","joci"
"The boy turned the lid on the jar.","The jar became warm.","2","copa","copa"
"Two outdoorsmen stand by a stony edifice in a forest.","Two brothers are in a forest.","3","snli","snli"
"Ann loved to work on puzzles and quizzes","This year, she had a big birthday party, with lots of gifts.","3","roc","roc"
"A handyman was called to fix a leak in the ceiling","He saw that there was a big hole on the roof that caused it.","4","roc","roc"
"The mailman delivered my set of new acne products","The products are a creation .","5","roc","joci"
"Pierre was hired to design a videogame character","The character is a recommendation .","3","roc","joci"
"Lilly had a dance recital","After her mother came home from work, they went to the recital.","3","roc","roc"
"Workmen under a freeway manipulating a metal cover on roadwork .","The workmen voice a concern .","3","snli","joci"
"A man wearing sandals is sitting on the stoop .","The sandals slip off .","3","snli","joci"
"A man was having trouble handling the stresses of his life","The stresses are eased .","3","roc","joci"
"When Mitt was ten he wanted to be a pro wrestler","One day he accidentally slammed his brother on the fireplace.","4","roc","roc"
"The man slides in the sand while holding on to his hang glider .","The glider crosses into a territory .","3","snli","joci"
"Carol mocked us for how silly we looked in our safety gear","Carol strutted to the sabre saw and twirled it in her hands.","3","roc","roc"
"The man is comfortable sleeping knowing his chickens will sound the alarm.","a man is sleeping .","5","snli","seq2seq"
"A crane is being used in the construction or destruction of a building along with a worker spraying water at the building."," A crane is being used in construction.","5","snli","snli"
"Three vikings walking on the boardwalk.","the goats eat cats","1","snli","snli"
"The man started an argument with me.","My friend stood up for me.","3","copa","copa"
"Daniel had always thought he was too short to get a girlfriend","The short is a tract .","1","roc","joci"
"Dan went spelunking into a cave with some friends","The cave is a geological formation .","5","roc","joci"
"Craig had a crush on a girl that he went to class with","The class are a collection .","4","roc","joci"
"Civilians and military personnel gather outside a building.","There is a group of people.","5","snli","snli"
"A man and woman are reading from a script into a microphone .","The script is neat .","3","snli","joci"
"The girl handed her money to the cashier.","The cashier forgot to give the girl a receipt.","3","copa","copa"
