"CONTEXT","INFERENCE","LABEL","CONTEXT_FROM","INFERENCE_FROM"
"I was expecting a package all day","I waited for hours, but the package never arrived.","4","roc","roc"
"In a train station , an attractive woman in a blue skirt and jacket , surrounded by her luggage , passes time with a crossword .","The crossword is a puzzle .","5","snli","joci"
"An old man walked into our classroom","He introduced himself and said that he was a substitute for today.","5","roc","roc"
"Katie was making a casserole in home ec class","The casserole is a dish .","5","roc","joci"
"An old man is holding several scratch off tickets .","A stick draws out the scratch .","1","snli","joci"
"Two friends met to exchange christmas gifts","Each friend opened his card to find $20.","3","roc","roc"
"The skateboarder prepares to wipeout.","The boy is riding a scooter.","1","snli","snli"
"A throng of travelers is walking between two trains on an indoor station platform.","The people are walking by the trains.","5","snli","snli"
"People walking though an architectural design.","The people are sitting in chairs eatting ice cream.","1","snli","snli"
"A teacher assists a student in a computer lab .","The teacher is an educator .","5","snli","joci"
"Several alarms rang throughout my school","She told us to head to a safe spot and duck due to a nearby hurricane.","3","roc","roc"
"The magnet attracted the paperclip.","The paperclip dropped from the magnet.","2","copa","copa"
"An aerial view is on the top of two women, one older, one younger, who seem to be making something to eat at a public showcase.","Two women compete in tryouts for &quot;The Iron Chef&quot;","2","snli","snli"
"An oriental florist arranging flowers","A florist arranging flowers.","5","snli","snli"
"The rider throws his hand up for balance as the brown horse bucks.","the person is an ad .","1","snli","seq2seq"
"Sandy liked to jump rope","One day she was jumping rope when her brother zoomed by on his bike.","3","roc","roc"
"Jimmy thought he did n't have to follow rules","One day, Jimmy was burning some brush.","3","roc","roc"
"My friends and I decided to go swimming in the ocean","We were swimming for about ten minutes when my friend screamed.","3","roc","roc"
"A baby wearing a white sleeper is sleeping in a crib.","An infant in bed.","5","snli","snli"
"Lucy sat on the porch in the warm summer sun","She was bored so she decided to read a book.","3","roc","roc"
"a group of people are canoeing down a river through a rainforest .","The rainforest is a forest .","5","snli","joci"
"A young man is having his dreadlocks cutoff by a woman with scissors .","The cutoff is a device .","1","snli","joci"
"Selma dropped a piece of cheese on her way to the dining room","Selma went back to pick up the cheese.","3","roc","roc"
"The dip tasted bland.","I served it.","3","copa","copa"
"The phone rang.","The man hung up the phone.","3","copa","copa"
"The ripe fruit lingered in the sun.","It was eaten.","3","copa","copa"
"A hockey player turns while staring off picture , large blue and yellow signs contrast the white ice and the player 's dark jersey .","The contrast is an opposition .","4","snli","joci"
"A woman and man look at a computer screen at an expo.","The people are sleep at an expo.","1","snli","snli"
"James was trying to kick the ball in the goal","He ran to the right although he kicked the ball to the right.","3","roc","roc"
"Our group's conversation gradually lulled to silence.","I felt awkward.","4","copa","copa"
"A man is exiting a port-a-potty, relieved he can smell fresh air.","girl reads book","2","snli","snli"
"Missy wanted puppies to sell","She had a dog and she invited a friend to mate his dog with hers.","4","roc","roc"
"Three men examining clothing in a clothing shop .","The shop is a workplace .","4","snli","joci"
"People buying groceries after massive earthquakes had hit their hometown in recent weeks","People are shopping for groceries after a huge earthquake.","5","snli","snli"
"I bit into a slice of watermelon.","I accidentally chipped my tooth.","2","copa","copa"
"A shepherd counted his flock one evening","The shepherd talks to a person .","3","roc","joci"
"Three naked people ride bicycles in a city street while law enforcement and a crowd looks on .","The enforcement leads to fines .","3","snli","joci"
"A band called the Sun Chasers are playing their instruments , with a case opened next to them for donations .","The donations are a giving .","5","snli","joci"
"Two men take measurements of a wall at an open construction site.","A construction worker takes measurements of the wall at an closed construction site.","2","snli","snli"
"A man picking up a softball as another slides to the base .","The softball is a ball .","5","snli","joci"
"Four hunks of meat spin on a spit while a man cuts food with a knife in the background.","Men picking up food from a truck","2","snli","snli"
"You must have a great personality, since you chose to conduct this survey-type layout.","The requestor is a butterfly.","1","snli","snli"
"Trey went to the store to buy ingredients for a soup","He went home and started the soup.","5","roc","roc"
"Andrea was nervous when she arrived to color guard tryouts","A person calls for the tryouts .","3","roc","joci"
"Closeup of a white bunny with another white bunny and black horse in the background.","A closeup of some animals.","5","snli","snli"
"The toddler became cranky.","Her mother put her down for a nap.","5","copa","copa"
"Soldiers march in their olive drab uniforms carrying weapons from the WWII era.","The soldiers are marching in a straight line.","3","snli","snli"
"Alissa 's throat had been hurting","The throat is sore .","5","roc","joci"
"Children playing on a roundabout.","Kids playing on a merry go round in the playground.","4","snli","snli"
"Two male Asian preteens giving the peace sign to the camera","The preteens are caught by a surprise .","3","snli","joci"
"A boy walks in a fourth of july parade carrying the American flag .","The fourth is a common fraction .","4","snli","joci"
"A man on the street wearing leather chaps and a chainmail codpiece .","A person wears the codpiece .","5","snli","joci"
"Young girl with red-hair and heavy eyeliner balls up her food wrapper.","The redhead is eating fast food.","3","snli","snli"
"Overlooking a street with a sign above shops that states Welcome To Golden.","The &quot;Welcome to Golden&quot; sigh if lit up.","0","snli","snli"
"Mya went to the casino with $ 20 hoping - to win big","But she lost $1 at a time until she was almost broke!","4","roc","roc"
"A woman using a whisk to blend the liquid contents in a measuring cup .","The whisk is a mixer .","5","snli","joci"
"The little girl looked in awe at the sight.","The girl is asleep.","1","snli","snli"
"A person in a purple shirt is carrying a wired wooden grid .","The grid is a facility .","5","snli","joci"
"Two females are playing rugby on a field, one with a blue uniform and one with a white uniform.","Two females on different teams compete in rugby","5","snli","snli"
"A worker in a blue shirt is high up on the outside of a tall office building, cleaning the windows.","A topless worker is washing glass.","1","snli","snli"
"The customer thought the souvenir was overpriced.","The vender sold it to him.","3","copa","copa"
"Susie went to the playground last night","The playground is an area .","5","roc","joci"
"A boy in a fuzzy goat holds a craw and looks at it.","Nobody has a craw","1","snli","snli"
"Two kids work on a science experiment with leaves at a park bench.","The two children are working on a science experiment at the bench with some leaves.","5","snli","snli"
"Jack wanted to learn how to ice skate","A person demolishes the skate .","2","roc","joci"
"Women dress in a blue shirt standing next to a man holding a pitchfork he used to spread the hay around as the crowd looks on.","A husband and wife entertaining a crowd","3","snli","snli"
"Many woman on laying on bellies on floor holding hands.","The women are acting like snakes.","2","snli","snli"
"While shielding their eyes, patient onlookers await the arrival of the solar eclipse.","People wait for the solar eclipse while shielding their eyes.","5","snli","snli"
"I became enthralled in the book.","I returned the book.","3","copa","copa"
"An asian themed restaurant with a large mounted fish .","The fish is an aquatic vertebrate .","5","snli","joci"
"It was the last minute of Jacob 's basketball game with the score tied","He drove the ball to the hoop and got fouled with one second left.","3","roc","roc"
"At an Easter egg hunt there - was a contest for the biggest egg","She picked up only the biggest eggs she could find.","4","roc","roc"
"The elderly, overweight man is wearing a hat, moccasins, and a purple shirt while reading a book on a sidewalk in front of a tree.","He was reading a science fiction novel.","3","snli","snli"
"Augustus and Seana were best friends since childhood","Augustus started a new job he couldn't meet with her as much.","3","roc","roc"
"In the 2012 london olympics , two women , one from great britain are sparring in a match watched by two judges and many other people .","The match is a contest .","4","snli","joci"
"I walked barefoot on the beach.","Waves crashed along the shore.","5","copa","copa"
"An elderly looking man in Europe is standing on top of a garbage can near the crosswalk as passersby take no notice .","The notice is a sign .","2","snli","joci"
"Jay called in a local plumber to take a look at his broken toilet","The plumber started working, taking the toilet apart.","4","roc","roc"
"The brown and white bog has a red item in its mouth.","The bog has something it its mouth.","0","snli","snli"
"The young lady is giving the old man a hug .","The hug is an embrace .","5","snli","joci"
"A group of Asians are eating outside with one passing another a napkin.","there is a man in this picture","3","snli","seq2seq"
"Several people are standing around a small building with a picture of a wasp painted on the roof and the side.","The building has a painting on it.","5","snli","snli"
"Two kids on wakeboards attempt to give one another a high-five.","Two kids are trying to huge.","0","snli","snli"
"The suspect took off running on foot","My father grabbed his gun.","4","roc","roc"
"A young boy enjoys several children books scattered on the floor , next to a shelf of toys .","The scattered is a spread .","3","snli","joci"
"An artist was painting an image of a boat in the water","He tried to mix other colors to make blue but to no avail.","3","roc","roc"
"A man in a white shirt playing a white guitar standing in front of a microphone with the light casting a somewhat reddish hue on his shirt","A man is giving a performance.","4","snli","snli"
"A man is doing something to a teapot.","The man is making tea.","4","snli","snli"
"Bill was sure there was a monster hiding in his closet","He called for his dad.","4","roc","roc"
"A man scuba diving on a coral reef.","A man was in the water.","5","snli","snli"
"A wall half covered in ivy along with an older two story house line a wet road, the only person on the road is a black wearing a red tank top, black shorts, and light blue sneakers, he's running a race and sports the number 5003.","The man is sitting on the sidewalk.","2","snli","snli"
"The man is digging to find something important, gems, gold or other sort.","The woman is digging to find something important, gems, gold or other sort.","1","snli","snli"
"A person being dressed in clothing with feathers and sequins .","A coat is decked out in the sequins .","3","snli","joci"
"A confrontation between two gentlemen is occurring , one wielding a guitar , the other balling a fist .","The confrontation is a disagreement .","5","snli","joci"
"Two kids discuss their woes around the dinner table.","Two kids are arguing at the dinner table","2","snli","snli"
"The boy felt stumped by the riddle.","He requested a hint.","5","copa","copa"
"A man is working in a mine or cavern of some sort.","a man is working with a friend in a mine","3","snli","snli"
"One day Jordyn was watching her fish Richard - swim - in his tank","A person catches the fish .","2","roc","joci"
"Jerry wanted to become an olympic gymnast","Jerry trained hard and kept his nutrition in check.","5","roc","roc"
"A young girl pets a brown doe in the sunshine.","A sad girl pets a brown doe in the sunshine.","3","snli","snli"
"Today my water heater broke","He told me that he could not repair it and it should be replaced.","4","roc","roc"
"A man with a white shirt and pants is taking a picture , also there are two large clear plastic bears that are holding colorful objects .","The objects are a constituent .","1","snli","joci"
"Photography crew prepare for a photo shoot .","The crew is a unit .","5","snli","joci"
"I turned on the fan.","I felt cool air pass over me.","4","copa","copa"
"A pianist sat down at a piano","A person works as the pianist .","5","roc","joci"
"A young blond woman looking into a small compact applying face paint outdoors.","A blonde woman applying face paint.","5","snli","snli"
"A man in a white apron holding a blue plastic bin in one hand , uses his other hand to tend to a large steaming cooker of shrimp .","The cooker is a cooking utensil .","5","snli","joci"
"A baby is in an activity chair in a child 's playroom .","The playroom has a terrace .","3","snli","joci"
"A girl scout was walking in my neighborhood","They threatened her to give them all of her cookies.","2","roc","roc"
"A hippie is making two cappuccinos.","The hippie is cooking some food.","1","snli","snli"
"There was a huge Alligator exhibit at the zoo","They had feedings twice a day.","4","roc","roc"
"Two male Asian preteens giving the peace sign to the camera","Two guys have their picture taken.","5","snli","snli"
"The weary worker forced himself to fight the relentless urge to sleep","The worker is a person .","5","roc","joci"
"The politician's argument was considered absurd.","He lost the support of voters.","4","copa","copa"
"A man carrying steel beams across a lumberyard.","A man carrying equipment for work.","5","snli","snli"
"A toddler wearing a pink shirt and jeans is placed on a shopping cart while sitting next to a loaf of bread.","The child sits in the cart.","4","snli","snli"
"Maxine had tried eating tuna before but had never eaten salmon","One day she visited Washington State to try Pacific salmon.","3","roc","roc"
"A shirtless man climbs a rock wall .","The wall is a fence .","4","snli","joci"
"Kelly was warned of wind speeds today before she went to school","Unfortunately as she walked to school, the wind overtook her.","3","roc","roc"
"John and Paul found a worm on the walking path","They were afraid someone would step on the worm.","4","roc","roc"
"Two men sitting on a black ottoman , the one in red is showing off a coke can while holding a plate of pretzels .","The ottoman is a seat .","5","snli","joci"
"Lindsay decided she needed to make a life change and lose weight","She read up on healthy ways to do it.","5","roc","roc"
"Two men , one in a gray shirt , one in a black shirt , standing near a stove .","The stove is a kitchen appliance .","5","snli","joci"
"A man sat in a field and watched the bees fly","The fly is a dipterous insect .","5","roc","joci"
"Two magicians trying to hurry up for a show in town.","Magicians hurrying to a show in town.","5","snli","snli"
"A cop was on his night shift","He went to a diner for a burger.","4","roc","roc"
"The little girl wearing pink is having fun bungee jumping.","A girl is bungee jumping.","5","snli","snli"
"A dog rests on a loveseat, while a man lies on a nearby sofa.","the dog is chasing a bird outside","1","snli","snli"
"A young man in an orange vest holding a shotgun displays a dead bird that he shot.","the young man was shoveling snow for money","1","snli","snli"
"A homicide detective got a call about a murder","The murder is a homicide .","5","roc","joci"
"Groups of young adults relax using various methods on a Greenspace.","A group of people are drag racing.","1","snli","snli"
"Three young sumo wrestlers standing and listening to an announcer","The announcer makes a mistake .","3","snli","joci"
"Man standing on a tricycle riding in front of a crowd .","Men use the tricycle .","5","snli","joci"
"An older man holding a crook, outside, wearing a red embroidered hat with a black tassel hanging from it, red glasses, and red and gold embroidered vest over white robes","The old man with the robe, hat and glasses is a karate master.","2","snli","snli"
"Lola was building a snow igloo in her yard","But she was having a tough time getting it together.","3","roc","roc"
"Bill 's sister recently gave birth and - he wanted to give a new toy","Bill decided to check his local toy store.","5","roc","roc"
"Don sat on the bench worried his team would lose the final","One of the worst team members was up to bat.","3","roc","roc"
"As a child I - really liked roasted marshmallows","I decided to roast some marshmallows myself.","5","roc","roc"
"Two girls play trombone and a boy plays the saxophone .","The trombone is brass .","5","snli","joci"
"For mother 's day Jane cooked her mother 's favorite meal","The meal consists of a steak .","3","roc","joci"
"A man flies through the air on his skateboard above a white staircase .","A person climbs the staircase .","3","snli","joci"
"A man was having trouble handling the stresses of his life","The stresses are a difficulty .","5","roc","joci"
"I taught my dog most of his tricks in one day","First I got him to lay down.","3","roc","roc"
"Jerry had an unfortunate case of the sniffles","He had no other symptoms apart from the sniffles.","3","roc","roc"
"Travis never had enough money","After looking through job ads, Travis applied for one.","3","roc","roc"
"Walt was busy digging graves at the church graveyard","The graveyard is a site .","5","roc","joci"
"A woman holding a giant hotdog covered with mustard.","A female holds a ballpark drenched with condiments","1","snli","snli"
"An average looking man is playing the guitar .","The average is a scale value .","3","snli","joci"
"My girlfriend had just broken up with me","A person lives with the girlfriend .","3","roc","joci"
"A tornado came through the town.","The highway became dangerously icy.","2","copa","copa"
"The gardener pulled the weeds.","The weeds came out of the soil.","5","copa","copa"
"Two older gents playing checkers on a stone table .","The gents are a male .","4","snli","joci"
"Sam went out for Saint Patrick 's Day","The Day is a time unit .","5","roc","joci"
"An adult woman is signing a large petition directed toward a cause to help women .","A person files the petition .","4","snli","joci"
"Jane was looking for new clothes for her spring wardrobe","When she got there it didn't look like they would have anything.","3","roc","roc"
"A black man wearing a blue shirt and some bling starring into the camera.","the man is a famous singer","2","snli","snli"
"Billy was convinced that he had a great idea for an invention","Not many people did, so he thought of something else.","2","roc","roc"
"The factory owner refused to raise employees' wages.","The owner appointed a new manager.","3","copa","copa"
"The man got plastic surgery.","He looked younger.","4","copa","copa"
"The woman stomped on the flames.","The flames went out.","5","copa","copa"
"A man in a purple shirt adding sugar to a bowl of orange mush.","The man is making an orange cake.","3","snli","snli"
"Sam 's son wanted a dog","Sam could not afford it.","3","roc","roc"
"Kenya met up with her ex-boyfriend at a coffee spot","They talked for a few minutes and walked away.","4","roc","roc"
"My old basketball coach wanted us to go to camp in the summer","The camp is a shelter .","4","roc","joci"
"Martha was hitting an all time low at her bakery","The bakery is a shop .","5","roc","joci"
"My teeth have been hurting all of a sudden out of nowhere","The dentist asked when the last time I flossed was.","5","roc","roc"
"The ripe fruit lingered in the sun.","It shriveled up.","4","copa","copa"
"A boy in blue and white shorts is sweeping with a broom and dustpan.","The boy is not wearing shorts.","1","snli","snli"
"A guy smiling as he ejects a cartridge from his recently fired shotgun .","The cartridge is a supply chamber .","3","snli","joci"
"In a small village a Man sets sail along the Swamp .","The village is a community .","5","snli","joci"
"Lilly made a beautiful snow angel before going in for lunch","She had no idea how it could have gotten there.","2","roc","roc"
"A group of men wearing old military uniforms are standing in formation while they demonstrate the use of their rifles to a group of onlookers on a city street.","A military men demonstrating rifles to onlookers.","3","snli","snli"
"A safety inspector kneeling down checking off what appears to be train passenger seats.","An inspector is checking a train before it&apos;s depearture.","4","snli","snli"
"A woman with short hair listens to her iPod sitting along a wall.","A woman sits on a wall.","5","snli","snli"
"Anthony always wanted a career in photography","One day he posted on facebook pictures from a rap concert in a park.","3","roc","roc"
"A person is using a dropper to disperse colored liquid into a clear beverage.","Person making sandwiches","1","snli","snli"
"A large white cruise ship in the background behind a black gate.","a norwegian cruise ship waits in harbor","3","snli","snli"
"The waistband on my pants was loose.","I put on a belt.","4","copa","copa"
"John had an itch on his mid-back","He tried asking someone else but they refused.","3","roc","roc"
"Charles was running behind schedule","He needed to grab his keys and leave for work.","3","roc","roc"
"The girl met her favorite actor.","She asked him for his autograph.","5","copa","copa"
"Mother and daughter try to best each other by looking dreary .","The best is an attempt .","5","snli","joci"
"a little girl sitting outside on a colored paisley blanket wearing a yellow shirt, matching flowered pants, and holding a white hat.","The girl is at a picnic.","3","snli","snli"
"Some colorful riflemen are walking in a parade .","The riflemen die .","2","snli","joci"
"At eighteen Year 's old Matthew had one thing on his mind","It was pizza.","4","roc","roc"
"A black man in a white shirt looks tired while a black women stirs a pot.","Two people are outdoors tending to their pigeons.","2","snli","snli"
"My ankle was swollen.","I put ice on it.","4","copa","copa"
"A band who is performing in front of their many followers.","A band practices in their garage.","1","snli","snli"
"Rob liked to make waffles","He was making one for lunch when the waffle iron gave out.","3","roc","roc"
"I used to live in the South End of Boston","They sold a bike made in China.","2","roc","roc"
"A man in a green machine is cleaning a pump in front of the Drake hotel.","The pump in front of Drake hotel being cleaned.","5","snli","snli"
"At a fencing tournament in a gymnasium two fencers engage in a duel with their swords.","Two wrestlers square off for a match.","2","snli","snli"
"A young boy stands and watches a British guardsman.","a boy is standing.","5","snli","snli"
"A lady is standing up holing a lamp that is turned on .","A person moves the lamp .","3","snli","joci"
"My uncle was addicted to the dog races","He would go twice a month or more.","4","roc","roc"
"The motorist driving a Toyota Camry is approached on a heavily congested road by a solicitor wearing a knit cap, read T-shirt, and blue lightweight jacket.","man begging for coins","3","snli","snli"
"A sanitation worker in bright yellow safety garb hauls bins down a sidewalk.","The worker is not returning the bins.","2","snli","snli"
"A man pulling a rickshaw or handcart is sharing a road in China with an Audi and truck.","A man navigates busy streets.","3","snli","snli"
"A football player dressed in green and white advances the ball while watched by a defender in blue.","The football player juked the defender.","4","snli","snli"
"An Asian man wearing a graphic T-shirt that says ""Music is the weapon of the future"" and an Asian woman in a gray hoodie with hoop earrings sit on a bench and eat a meal of noodles and shrimp from styrofoam plates","An Asian man and woman eat a meal from styrofoam plates.","5","snli","snli"
"A man and woman taking a nap on a makeshift rip.","Two people are taking a nap.","5","snli","snli"
"As photographers, onlookers, and referee observe, two men in fighting gloves and headgear are shown in stop motion photography mid fight and in midair.","Photographers and onlookers are observing a movie being filmed.","2","snli","snli"
"The student was in a rush to get to school on time.","He brought his lunch to school.","3","copa","copa"
"Anna missed seeing hummingbirds all the time","She waited for days to see a hummingbird.","5","roc","roc"
"Two blue inflatable rafts are involved in a collision on white water .","The collision is an accident .","5","snli","joci"
"A soccer player wearing bright green kicks a soccer ball so hard that it sends clumps of dirt and grass flying.","The boy has a broken kicking foot.","2","snli","snli"
"A woman wearing a babushka is sitting and sleeping inside a flower shop.","A women is sitting and sleeping because she worked all night.","3","snli","snli"
"Two kids on wakeboards attempt to give one another a high-five .","A father gives the high-five .","3","snli","joci"
"There are two women smiling, one with a red jacket and blond-hair and another wearing a black pantsuit.","A blond woman in red and a woman in black smile at one another.","3","snli","snli"
"After a great performance , these performers bow down in respect of the audience .","A person feels the respect .","4","snli","joci"
"A man is pouring grain from a sifter onto a very colorful blanket.","The man is near the sifter.","5","snli","snli"
"Today I decided to put new cabinets in my kitchen","I tore out all of the old cabinets without a problem.","5","roc","roc"
"A mailman with a rolling mailbag smiling at the camera in front of a wall topped with an iron decorative fence.","The mailman is posing for photographs that will appear in a catalog.","3","snli","snli"
"A man with a backpack and hat is standing by a high cliff where you can see for miles .","The miles are a linear unit .","5","snli","joci"
"An empty chairlift and a chairlift occupied by two people are moving.","Chairlifts occupied by two people are moving.","5","snli","snli"
"A person is using a dropper to disperse colored liquid into a clear beverage.","Person dispersing colored liquid into a clear beverage","5","snli","snli"
"Tom walked the same path to work everyday","He enjoyed the pleasant, calming walk.","4","roc","roc"
"A man wearing a headset and an apron is filling up a cup with a beverage.","A man is working in drive thru at Wndy&apos;s.","3","snli","snli"
"A boy in blue and white shorts is sweeping with a broom and dustpan .","The dustpan is crude .","2","snli","joci"
"Kelly bought a new sweater at the mall","She thought it looked great.","5","roc","roc"
"A toddler is grasping pawns on a chessboard .","The pawns are a chessman .","5","snli","joci"
"I had a great time on my birthday with - emails and cards from friends","The emails are an electronic communication .","5","roc","joci"
"Woman throwing a blue football on a grass field .","The football is a ball .","5","snli","joci"
"People watching air jets in a big event.","People are watching the event from bleachers.","3","snli","snli"
"The engineer at the power plant watched the monitors intently","A person works as the engineer .","5","roc","joci"
"People play with pyrotechnics.","Children play with a spark plug.","2","snli","snli"
"Girl in red jacket ponders while sitting in an art museum with cubes on the floor.","the girl is not indoors .","1","snli","seq2seq"
"Cara finally took the training wheels off her bike","A person stops the bike .","3","roc","joci"
"A family of four sit on a quilt in a crowd of others.","The family of four are sitting on a blanket with others.","5","snli","snli"
"A man in white wearing a Yarmulke is in front of a microphone with several other men in the background.","A Jewish man is in front of a microphone.","4","snli","snli"
"Two outdoorsmen stand by a stony edifice in a forest .","The outdoorsmen are a person .","5","snli","joci"
"While some people look in the barn , others walk on the bridge and some are enjoying cooling off in the water by the beach .","The barn is a farm building .","5","snli","joci"
"Three men at the beach drink beer and use a metal detector .","The detector is a device .","5","snli","joci"
"Chris has always been disgusted that people eat raw oysters","Finally he decides to try one.","3","roc","roc"
"A woman , in a green shirt , preparing to run on a treadmill .","The treadmill is an exercise device .","5","snli","joci"
"The public speaker cracked a joke.","The audience stood up.","3","copa","copa"
"Beverly wanted to write a letter to her grandparents","She bought an envelope and some paper.","4","roc","roc"
"He peered at her through binoculars","It was his job to keep her safe.","3","roc","roc"
"A safety inspector kneeling down checking off what appears to be train passenger seats.","An inspector is checking a train.","5","snli","snli"
"Chad was having issues with storage space in his home","Chad decided he would turn a spare bedroom into a closet.","3","roc","roc"
"A man with a ponytail wearing a blue collared shirt is playing an instrument 's mouthpiece .","A person swallows the mouthpiece .","2","snli","joci"
"People buy fruits from a stand carrying melons , apples , and other fruits .","The melons are edible fruit .","5","snli","joci"
"Playing tee ball is such fun for this little boy .","The fun continues to pick up .","3","snli","joci"
"A child looks at rodents in a glass display.","The child is interested in rodents.","4","snli","snli"
"Sitting guy handling a stapler while another guy looks on.","A man is filling out hire paperwork for another.","2","snli","snli"
"A vendor and customer discussing products and pricing at a mall kiosk .","Businesses become wily at the pricing .","3","snli","joci"
"Looking through a vehicle's windshield at a dog crossing the road.","A dog is walking outside.","5","snli","snli"
"A group of elderly peddlers selling blow up balloons and toys along the side of a street.","People are trying to sell their merchandise.","5","snli","snli"
"Jane was visiting New Orleans with her sorority","The sorority is a club .","5","roc","joci"
"Two joggers on a tree lined path.","A few men are racing each other.","3","snli","snli"
"Frank was making a painting for a competition","He spent a few weeks perfecting his masterpiece.","4","roc","roc"
"A runner slides into second base while the shortstop waits for the ball","A runner slides into first base while the shortstop waits for the ball","3","snli","snli"
"I really wanted some chicken wings","I decided to make some.","5","roc","roc"
"A contortionist is doing a move on stage for people.","People gather for a show.","5","snli","snli"
"The player hit the ball toward the hole.","The ball went in the hole.","4","copa","copa"
"The bride and the groom are staring into each others eyes as the preacher reads them their wedding vows.","there are people with clothes .","5","snli","seq2seq"
"My college roommate Bill was an avid rock climber","He once invited me to go climbing with him.","5","roc","roc"
"It was our first family cruise","In the middle of it the ship hit something.","3","roc","roc"
"Voters are waiting to vote .","The voters have a right .","5","snli","joci"
"A man on horseback pulls back sharply on the reins while holding a coil of rope, as he waits to come out of a chute in a rodeo competition.","A man is painting with his wife.","1","snli","snli"
"Chuck and Andy had plans to see a movie together","A board approves the plans .","2","roc","joci"
"Two little girls reading a book at the library .","An explosion destroys the library .","2","snli","joci"
"The documents contained important information.","I paper clipped them together.","3","copa","copa"
"Two men wrestle one in black wrestling gear the other in red, white, blue and gray while the referee leans in close.","The two rivals are wrestling for the crowd.","4","snli","snli"
"My son Casey is autistic but he adores tractors and wagons","Harry, my mother's husband has a John Deere tractor with a wagon.","3","roc","roc"
"A helicopter is flying behind a plane that is performing aerobatics.","Two vehicles flying.","5","snli","snli"
"Driving home Jack - was startled by a loud pop","The car swerved dangerously and he managed to pull over.","4","roc","roc"
"Sue arrived at her new dorm with boxes from home","She watched her roommate unpack expensive matched bedding.","3","roc","roc"
"Mommy put the baby in the high chair","The baby mashed up the banana.","4","roc","roc"
"An African dressmaker puts the finishing touches on a garment while two women watch.","The professional is baking a pie.","2","snli","snli"
"A man standing near a grille with charcoal in it.","A woman eats a hamburger.","3","snli","snli"
"Female street entertainer with horns doing a curtsey.","The woman is on the street.","5","snli","snli"
"Woman wearing black and kneeling on rollerskates with deer face antlers on top of her helmet.","Woman in black kneeling at a skating rink, wearing rollerskates.","3","snli","snli"
"Some children are playing football with a seacoast in the background .","A boat sinks off the seacoast .","2","snli","joci"
"At eighteen Year 's old Matthew had one thing on his mind","The eighteen is a large integer .","3","roc","joci"
"a man reading a piece of paper next to stored pork .","The pork is meat .","5","snli","joci"
"Two joggers on a tree lined path.","a jogger is meditating","2","snli","seq2seq"
"A young man in a yellow and orange bathing suit squatting on a rocky protuberance overlooking the water.","A man is kneeling down to feel how firm the ice on the lake is.","2","snli","snli"
"Ike 's class was going on a field trip to the Navy submarine","Ike was thrilled since he'd always wanted to visit the submarine!","5","roc","roc"
"Missy and Bryan were walking through the city","They walked into every nearby building, but there were no bathrooms.","3","roc","roc"
"Martin was planning on getting his first tattoo but was scared","The tattoo is a decoration .","5","roc","joci"
"Joan was impatient with the line at airport security","When she set her stuff on the conveyor belt, an alarm sounded.","3","roc","roc"
"People gather around a car wash .","A person is proud of the wash .","3","snli","joci"
"The woman sensed a pleasant smell.","She was reminded of her childhood.","3","copa","copa"
"A man throws a disc in a park.","A man spends time outdoors.","5","snli","snli"
"People are walking in a piazza .","The piazza is a public square .","5","snli","joci"
"The man pressed down on the moist flap of the envelope.","He put a stamp on the envelope.","5","copa","copa"
"Kim wanted to purchase new living room furniture","Kim found stuff she liked, but wanted to look around more.","3","roc","roc"
"Gabby had a set of twin boys","They were one year old and were pretty smart.","3","roc","roc"
"Cubs fans have paper bags on their heads that spell out ""CUBS.""","The fan&apos;s heads are covered.","5","snli","snli"
"The mother is in the kitchen cleaning, she has her cleaning clothes on.","A mother is cleaning up in the kitchen before her family comes home.","3","snli","snli"
"Martin was planning on getting his first tattoo but was scared","The tattoo artist greeted him as Martin was shaking.","3","roc","roc"
"I was hungry for fruit","The fruit is a product .","5","roc","joci"
"I squeezed the damp sponge.","Water seeped out of it.","5","copa","copa"
"Annie begged her parents for a pet of her own","A person brings the pet .","4","roc","joci"
"Tim 's electric bill was late","The bill is a statement .","5","roc","joci"
"A woman works on a piece of computer equipment, while surrounded by a variety of mechanical and computer equipment, in what appears to be some type of laboratory workroom.","A woman designs computer hardware in her engineering laboratory.","3","snli","snli"
"I finished a page of the book.","I ripped out the next page.","3","copa","copa"
"Jeff 's family moved to a new city right before his freshman year","The right is an interest .","3","roc","joci"
"Three men at the beach drink beer and use a metal detector.","the men are sitting on a train","1","snli","snli"
"Topher made a film for his film class","He aired the film in class, hoping that the people liked it.","3","roc","roc"
"The fortune teller's revelations were convincing.","Many customers asked for refunds.","2","copa","copa"
"Claire and her husband Tom valued their privacy","The privacy is an isolation .","5","roc","joci"
"Produce market in India protected by umbrella shades .","A person takes the shades off .","3","snli","joci"
"Mike needed change to put air in his tire","The tire tries to abort the takeoff .","1","roc","joci"
"A snowboarder in the air , with a colorfully-decorated board .","The board is a committee .","5","snli","joci"
"Many woman on laying on bellies on floor holding hands.","Women are laying on the floor.","5","snli","snli"
"Author in green hat doing a book signing .","A person welcomes the signing .","4","snli","joci"
"The girl lost control of her bike.","She let go of the handlebars.","3","copa","copa"
"A male and a female looking at snippets of paper.","A husband and wife looking at snippets of paper.","3","snli","snli"
"A flower girl and ring bearer watch the flower petals hit the grass .","The bearer is a traveler .","3","snli","joci"
"My son and I drove to the shelter to adopt a new cat","We spent two hours playing with over fifty cats.","3","roc","roc"
