"CONTEXT","HYPOTHESIS","LABEL","CONTEXT_FROM","HYPOTHESIS_FROM","SUBSET"
"A female cheerleader in a shiney blue cheerleaders outfit leaps across stage while performing .","A pacquiao shows with the cheerleader .","2","SNLI-train","AGCI-WK","AGCI"
"A man carving an eagle out of a tree stump with a chainsaw.","A woman hauls a tree stump.","2","SNLI-train","SNLI-CONTRADICTION","SNLI"
"An elderly man in blue toasting with a glass of wine .","The toasting is required .","2","SNLI-train","AGCI-WK","AGCI"
"A man is playing an interment in a concert","Authorities plan the interment .","1","SNLI-train","AGCI-WK","AGCI"
"The trumpeter played in front of the microphone in a soft light .","Species is different from the trumpeter .","1","SNLI-train","AGCI-WK","AGCI"
"A young man is proudly making improvements to his home by using his carpentry skills .","A person welcomes the improvements .","4","SNLI-train","AGCI-WK","AGCI"
"The rhythmic gymnast completes her floor exercise at the competition .","The exercise is an effort .","5","SNLI-test","AGCI-WK","AGCI"
"A man grills hotdogs and bratwurst on a grill on a street corner .","The bratwurst is poisoned .","2","SNLI-train","AGCI-WK","AGCI"
"An immigrant stands outside of a Laundromat in the city .","The stands are packed .","1","SNLI-train","AGCI-WK","AGCI"
"A young woman wearing a yellow shirt and white shorts throws a boomerang in a brush environment .","The boomerang is a miscalculation .","3","SNLI-train","AGCI-WK","AGCI"
"A little girl making arts and crafts with small umbrellas and corks .","A person pops the corks .","1","SNLI-train","AGCI-WK","AGCI"
"Three women in ethnic clothing digging next to a dirt road .","The digging unfolds .","3","SNLI-train","AGCI-WK","AGCI"
"Carl got a brand new truck from the dealership","He decided to push the truck to its maximum capabilities.","3","ROCStories-1st","ROCStories-3rd","ROC"
"A long time exposure shot of fireworks going off , with many sparkles .","The sparkles are brightness .","4","SNLI-train","AGCI-WK","AGCI"
"A man and young child playing mini golf with tennis balls and enlarged golf putters .","A person grips the putters .","3","SNLI-train","AGCI-WK","AGCI"
"A man , with a blue wrapping around his foot , is about to kick another man , with a red cloth hanging from his belt , in the head .","The wrapping is strewn in debris .","1","SNLI-test","AGCI-WK","AGCI"
"A baby and a toddler are smiling whilst playing in a nursery .","The nursery is a building .","5","SNLI-train","AGCI-WK","AGCI"
"A band is practicing for their next gig .","The gig is a small boat .","1","SNLI-train","AGCI-WK","AGCI"
"The college student wanted to meet other students on campus.","He majored in engineering.","3","COPA-premise","COPA-effect","COPA"
"Paul is a genius who earned straight A 's ever since the first grade","The A is a purine .","1","ROCStories","AGCI-WK","AGCI"
"I use a cane to walk","My cane had slippery rubber tips and wore down quickly.","4","ROCStories-1st","ROCStories-2nd","ROC"
"I 'm tall and most times ca n't find clothes that fit","Men dress in the clothes .","3","ROCStories","AGCI-WK","AGCI"
"A woman rapels through barren treetops .","A propellor hits the treetops .","2","SNLI-train","AGCI-WK","AGCI"
"A cubby cheeked baby in a yellow and red bib playing with a toy .","The cubby is acceptable .","2","SNLI-train","AGCI-WK","AGCI"
"A man in a white shirt is accepting payment for food from two women .","The payment embarrasses a government .","1","SNLI-train","AGCI-WK","AGCI"
"Alysha forgot to take her lunch to school","She called her sister to bring her some lunch.","4","ROCStories-1st","ROCStories-2nd","ROC"
"Brittany got hurt playing softball","She told her mom that the ball hit her in the head.","4","ROCStories-1st","ROCStories-3rd","ROC"
"Drum kit cymbals sit under a microphone while a guitarist and some other people are in the background.","a group of guitarists are watching a musical wall .","1","SNLI-train","AGCI-NN","AGCI"
"I got gum in my hair","It was a horrendous sticky mess.","5","ROCStories-1st","ROCStories-2nd","ROC"
"Ky just began working in a new position","He became very skilled at his job.","3","ROCStories-1st","ROCStories-2nd","ROC"
"Two Buddhist monk apprentices descend a staircase .","A person deals with the apprentices .","3","SNLI-train","AGCI-WK","AGCI"
"Staff and youth sitting on the floor crafting posters.","Staff and youth sitting on the floor crafting posters and using lots of different colors","4","SNLI-train","SNLI-NEUTRAL","SNLI"
"A group of women being served hors d'oeuvres at an affair.","The women are hungry and there isn&apos;t any food around.","1","SNLI-train","SNLI-CONTRADICTION","SNLI"
"A lady is helping another woman work in a silver compartment , which is most likely related to nurse-work .","A crew delivers the compartment .","2","SNLI-test","AGCI-WK","AGCI"
"Woman in blue passes a loaf of bread to another woman while man in red shirt watches transaction .","The transaction is a group action .","3","SNLI-train","AGCI-WK","AGCI"
"a man puts his hands up while telling an amusing story to his friend with a beard .","The story is news .","3","SNLI-test","AGCI-WK","AGCI"
"A man in a light brownish jacket , orange undershirt , blue jeans , and a black satchel , who has many sticks of cotton candy .","The satchel is luminescent .","1","SNLI-test","AGCI-WK","AGCI"
"Alex was in his bedroom","The bedroom is a room .","5","ROCStories","AGCI-WK","AGCI"
"A man in orange holds soup ladles and makes a funny face .","The face is a facial expression .","3","SNLI-train","AGCI-WK","AGCI"
"five Japanese ladies wear red bandanas","The bandanas are changed .","3","SNLI-train","AGCI-WK","AGCI"
"A tall gentleman plays inflatable croquet .","The croquet continues to pick up .","1","SNLI-train","AGCI-WK","AGCI"
"The girl in the white strip is falling down as the girl in the blue strip challenges for the soccer ball .","The challenges are a situation .","5","SNLI-train","AGCI-WK","AGCI"
"A marching band dressed in red tunics and black trousers with tall black furry headpieces are walking in pairs in cadence down a sidewalk bordering a stone wall .","A bed has the headpieces .","1","SNLI-train","AGCI-WK","AGCI"
"Cool, refreshing snow flies as a skier speeds quickly down a wintry wonderland.","Someone is skiing in really nice snow.","5","SNLI-train","SNLI-ENTAILMENT","SNLI"
"A dark-skinned man wearing a green cap backwards on his head grins in a crowd .","A person remembers the grins .","3","SNLI-test","AGCI-WK","AGCI"
"A person jogging along a beautiful greenway .","The greenway surrounds a town .","2","SNLI-train","AGCI-WK","AGCI"
"Asian-American little girl wearing blue jeans and a flowery shirt playing with a flower on the ground .","The flower is a reproductive structure .","5","SNLI-train","AGCI-WK","AGCI"
"A black-haired woman with her hair in a high bun is having her head shaved by another woman .","The bun is buttered .","2","SNLI-test","AGCI-WK","AGCI"
"A man wearing a gray shirt , blue jeans , glasses , and sneakers is teeing of a golf ball with a golf clove .","The clove has an effect .","2","SNLI-train","AGCI-WK","AGCI"
"Two hockey players are in the middle of a match and the man on the left is in the process of swinging his stick in the attempt of scoring .","A person feels the process .","1","SNLI-train","AGCI-WK","AGCI"
"A group of men are re-enacting a battle and have a woman as their prisoner.","a group of people are walking .","3","SNLI-train","AGCI-NN","AGCI"
"Bill worked at a bank as a loan officer","Bank auditors discovered the discrepancy.","3","ROCStories-1st","ROCStories-3rd","ROC"
"An aerial view is on the top of two women, one older, one younger, who seem to be making something to eat at a public showcase.","Two women compete in tryouts for &quot;The Iron Chef&quot;","2","SNLI-train","SNLI-NEUTRAL","SNLI"
"A group of women converse with one another as they work in a rice paddy .","The paddy is rice .","5","SNLI-train","AGCI-WK","AGCI"
"Bystanders watch the aftermath of an accident between a red and black car .","A statement comes in the aftermath .","3","SNLI-train","AGCI-WK","AGCI"
"I was nervous because I was about to finish my driver 's test","The driver falls asleep at a wheel .","2","ROCStories","AGCI-WK","AGCI"
"A woman with neon headphones writes in a notebook .","The notebook adds to an attraction .","2","SNLI-train","AGCI-WK","AGCI"
"A child is using the bathroom .","A book is flushed in the bathroom .","2","SNLI-train","AGCI-WK","AGCI"
"James was a fire chief who wanted to retire to Florida","A person steps down as the chief .","4","ROCStories","AGCI-WK","AGCI"
"A teenager blows a whistle and wears white face paint , earmuffs , and a yellow hat while another teen watches .","The whistle is heard .","5","SNLI-test","AGCI-WK","AGCI"
"Although Jimmy did n't know how to play Scott - handed him the ball","The play is over .","2","ROCStories","AGCI-WK","AGCI"
"Young lady in bikini lying on the beach","The bikini leads a rally .","1","SNLI-train","AGCI-WK","AGCI"
"A swimmer is performing the breaststroke in an indoor swimming pool set up for a competition .","The breaststroke is a swimming stroke .","5","SNLI-test","AGCI-WK","AGCI"
"The doberman pincer is leaping through the water .","A person raises the pincer .","3","SNLI-train","AGCI-WK","AGCI"
"Kids playing on the rocks with a steamboat in the background .","The steamboat stays off roads .","5","SNLI-test","AGCI-WK","AGCI"
"A skier is skiing down a mountain wearing goggles and a red anorak .","The anorak faces charges .","1","SNLI-train","AGCI-WK","AGCI"
"A man holds one rose in one hand and many roses in another .","The rose resigns as a secretary .","1","SNLI-train","AGCI-WK","AGCI"
"A five person Brass band is seated , semi-circularly , in a white alcove of a church that has stained glass windows .","The alcove is surrounded by a moat .","3","SNLI-test","AGCI-WK","AGCI"
"Voters are waiting to vote.","there is a man in the picture","2","SNLI-train","AGCI-NN","AGCI"
"Two hikers walk down an arid slope next to a green conifer .","The conifer causes a disease .","1","SNLI-train","AGCI-WK","AGCI"
"The tail of the airplane has a yellow circle with what appears to be an animal in the center .","A score represents the center .","1","SNLI-train","AGCI-WK","AGCI"
"The chemists give the lost man directions to the bathroom .","The chemists treat a child .","2","SNLI-train","AGCI-WK","AGCI"
"A woman holding a green bad taking a picture of another woman on a bridge.","A woman is taking a photograph of another woman on the bridge.","5","SNLI-train","SNLI-ENTAILMENT","SNLI"
"Man in a boat on a lake, surrounded by mountains and forestry.","Man in a boat on a lake.","5","SNLI-train","SNLI-ENTAILMENT","SNLI"
"Skateboarder jumping down a short flight of stairs in a dimly lit warehouse .","The flight is a stairway .","5","SNLI-train","AGCI-WK","AGCI"
"A woman with her face partially covered in silver face paint sits on a plastic tote looking in a mirror .","The tote is found inside a suitcase .","2","SNLI-test","AGCI-WK","AGCI"
"A girl with blue highlights watches a dog leap to catch a frisbee .","The highlights are a light .","1","SNLI-train","AGCI-WK","AGCI"
"I worked out at the gym yesterday.","I woke up today with a sore throat.","2","COPA-premise","COPA-effect","COPA"
"Two young girls appear to be at attention during the national anthem .","A person listens to the anthem .","5","SNLI-train","AGCI-WK","AGCI"
"Ali had an enemy named Val","Ali discovered Val wanted to fight her after school.","3","ROCStories-1st","ROCStories-2nd","ROC"
"Iris and her best friend went to get spray tans for vacation","A person continues the vacation .","4","ROCStories","AGCI-WK","AGCI"
"Local Muslims celebrate the opening of a new restaurant sponsored by Channel 1 news .","The news is an interest .","3","SNLI-train","AGCI-WK","AGCI"
"Craig had a crush on a girl that he went to class with","The class are a collection .","4","ROCStories","AGCI-WK","AGCI"
"A caucasian man wearing a short-sleeved black shirt and a dark-skinned woman wearing a sleeveless dress are working at a conveyor.","An American and an Hispanic worked at the clothing store.","2","SNLI-train","SNLI-CONTRADICTION","SNLI"
"Two men working at a Donut Shop promote their new product candied apples as Customers decide what is the healthiest option .","The option is found .","2","SNLI-train","AGCI-WK","AGCI"
"Six adults , at Christmas time , having game night in the library during a power outage .","The outage happens .","4","SNLI-train","AGCI-WK","AGCI"
"I invited Jenny to a trip to the zoo on a Saturday afternoon","A soldier is evacuated to the zoo .","2","ROCStories","AGCI-WK","AGCI"
"A woman is presenting various documents using multimedia equipment.","A woman has worked hard on the documents she has prepared.","4","SNLI-train","SNLI-NEUTRAL","SNLI"
"Groups of young adults relax using various methods on a Greenspace.","A bunch of couples are attempting to meditate.","2","SNLI-train","SNLI-NEUTRAL","SNLI"
"A boatman in a coolie hat and purple shirt and a child paddle a small boat over placid , muddy water .","The boatman leaves an area .","4","SNLI-train","AGCI-WK","AGCI"
"A female gymnast, upside down with her body at full extension.","A female gymnast is stretching her body upside down.","5","SNLI-train","SNLI-ENTAILMENT","SNLI"
"A man in a blue button up shirt making a speech with a sign next to him saying , '' no more U.S. dollars to Israeli pirates and murderers . ''","The murderers are a criminal .","5","SNLI-train","AGCI-WK","AGCI"
"A boy in a torn gray shirt and shorts is photographed from multiple angles as he soars up on a skateboard .","A person has to have the angles .","1","SNLI-train","AGCI-WK","AGCI"
"Native Americans in decorative dress appear to be celebrating for a cause.","Native Americans are doing a celebratory dance as part of an exhibition.","4","SNLI-train","SNLI-NEUTRAL","SNLI"
"A woman getting her fortune read .","Everyone shares in the fortune .","2","SNLI-train","AGCI-WK","AGCI"
"A man with black hair and mustache is standing behind an array of cigarette and soft drinks .","A globalization spurs the array .","1","SNLI-train","AGCI-WK","AGCI"
"Rhonda has worked as a nurse her whole life","A military maintains the nurse .","1","ROCStories","AGCI-WK","AGCI"
"Neil got a summer job at an ice cream parlor","He also rang people up in the register.","3","ROCStories-1st","ROCStories-3rd","ROC"
"A woman wearing a red scarf, blue sweater and jeans is sitting alone, cross legged amidst a series of stone or concrete blocks.","a woman sitting by a pile of concrete , while sitting .","1","SNLI-train","AGCI-NN","AGCI"
"Janet saw a plate of icing on the kitchen counter","Stocks stage the counter .","1","ROCStories","AGCI-WK","AGCI"
"A adult female with dark hair and sunglasses holding something , she has a scrolling tattoo on her arm .","The tattoo is a bugle call .","1","SNLI-train","AGCI-WK","AGCI"
"A man wearing a black jacket , and a smirk playing an accordion on a city street .","The smirk is a smile .","5","SNLI-train","AGCI-WK","AGCI"
"A child and woman exchange glances .","The exchange is taken .","2","SNLI-train","AGCI-WK","AGCI"
"A young man wearing all great is filling a cooler up with an assortment of foods .","The assortment is a grouping .","4","SNLI-train","AGCI-WK","AGCI"
"Elderly woman in yellow parka pan handling","A government is criticized for the handling .","2","SNLI-train","AGCI-WK","AGCI"
"A female swimmer wearing a swimming cap does the butterfly stroke .","The stroke is a touch .","1","SNLI-test","AGCI-WK","AGCI"
"A black and tan dog being held with a lease .","The lease is reached at a meeting .","1","SNLI-train","AGCI-WK","AGCI"
"An athletic woman in a gray top and black shorts , seems very focused on her rollerblading .","The rollerblading is a roller skating .","5","SNLI-test","AGCI-WK","AGCI"
"Raven was performing songs on youtube","A band plays the songs .","3","ROCStories","AGCI-WK","AGCI"
"A young lady crying snow in her compound at home .","The compound is a whole .","1","SNLI-train","AGCI-WK","AGCI"
"Man with blue shirt is doing a grind with a skateboard.","man on skateboard","5","SNLI-train","SNLI-ENTAILMENT","SNLI"
"Construction workers are standing by a railway .","A government has the railway .","2","SNLI-train","AGCI-WK","AGCI"
"A child standing on a chair to shove his face into a fire by a candle , his negligent father watches on in bemusement .","The bemusement is a confusion .","2","SNLI-train","AGCI-WK","AGCI"
"A man wearing gloves and a gray t-shirt traversing scaffolding .","A person dresses the gloves .","1","SNLI-train","AGCI-WK","AGCI"
"A solo snowboarder swooshes down a mountain leaving a cloud of powdery snow in his wake .","The snowboarder dies .","3","SNLI-train","AGCI-WK","AGCI"
"My wife and I decided we needed to set up a budget","It worked like a charm for 3 days.","3","ROCStories-1st","ROCStories-3rd","ROC"
"Young girl picking buttercups on a pretty day .","The picking is an output .","3","SNLI-train","AGCI-WK","AGCI"
"Two female nurses are standing by a pushcart in a hospital hallway .","The pushcart sophisticated .","1","SNLI-train","AGCI-WK","AGCI"
"Businesswoman and man speaking together in front of awaiting army personnel .","The businesswoman is a businessperson .","5","SNLI-train","AGCI-WK","AGCI"
"A woman is working on the computer .","A person keeps the computer .","3","SNLI-train","AGCI-WK","AGCI"
"A dalmatian runs through the woods .","The dalmatian jumps on a girl .","3","SNLI-dev","AGCI-WK","AGCI"
"A pug stands on the bank of a pond while a larger dog stands in the water .","The pug remains popular .","3","SNLI-train","AGCI-WK","AGCI"
"Skippy was a brown squirrel in our yard","A person goes out to the yard .","3","ROCStories","AGCI-WK","AGCI"
"Dan and his family were watching football","Dan bet his brother the Giants would beat the Vikings.","3","ROCStories-1st","ROCStories-2nd","ROC"
"A woman wearing a sweatshirt and cap chats with a healthcare provider while receiving intravenous medicine .","The provider breaks stones .","2","SNLI-train","AGCI-WK","AGCI"
"A girl in a pink striped shirt is in front of an armoire .","A bedroom has the armoire .","5","SNLI-train","AGCI-WK","AGCI"
"My wife bought me a cider making kit in 2009","A search turns up the kit .","2","ROCStories","AGCI-WK","AGCI"
"A group of children and their guardian walk on the boardwalk and eat ice cream .","The guardian suffers an injury .","2","SNLI-train","AGCI-WK","AGCI"
"A baby sitting in a highchair looking delighted .","A person dusts the highchair .","3","SNLI-test","AGCI-WK","AGCI"
"A group of boys exploring the seaside.","the boys are near the edge .","3","SNLI-train","AGCI-NN","AGCI"
"A man is describing stuff using chalk on a chalkboard.","the animal is wearing clothes .","1","SNLI-train","AGCI-NN","AGCI"
"A boy and a girl stand in a median amongst Mike Huckabee signs .","The median has a margin .","1","SNLI-test","AGCI-WK","AGCI"
"My office door was open.","I overheard the conversation in the hall.","4","COPA-premise","COPA-effect","COPA"
"Two individuals use a photo kiosk","Reporters show the kiosk .","2","SNLI-test","AGCI-WK","AGCI"
"One cyclist takes the lead over the other 3 , racing in the velodrome .","A ceiling is installed over the velodrome .","1","SNLI-train","AGCI-WK","AGCI"
"Several toddlers in a room with many toys , a yellow lamp , a window , gray carpeting and paintings .","The carpeting is a floor cover .","5","SNLI-dev","AGCI-WK","AGCI"
"A doctor talks to patients in a makeshift clinic .","The clinic is a medical institution .","5","SNLI-train","AGCI-WK","AGCI"
"HO King produce store offering snow peas , broccoli , and napa .","The napa is a crucifer .","2","SNLI-train","AGCI-WK","AGCI"
"Children play barefoot in the sand next to a rusting oil pipeline .","A bank is used as the pipeline .","1","SNLI-train","AGCI-WK","AGCI"
"A guitarist for a band looks intently on as he plays his guitar with determination.","The guitarist is in a band","5","SNLI-train","SNLI-ENTAILMENT","SNLI"
"Two women are reading , one woman has a magazine with a Dior ad on the back of it , while the other woman is reading fro ma hard cover book .","A judge blocks the reading .","1","SNLI-test","AGCI-WK","AGCI"
"Male wearing brown shorts and black t-shirt in his bedroom with his feet on the desk talking on the phone .","A body is found in the bedroom .","3","SNLI-test","AGCI-WK","AGCI"
"A young boy in green practices juggling in a parking lot .","The practices are common .","3","SNLI-test","AGCI-WK","AGCI"
"Shannon was trying to light a candle","She was holding it upside down and trying to light it.","4","ROCStories-1st","ROCStories-3rd","ROC"
"Tim got a new skateboard","The first time he used it he fell.","3","ROCStories-1st","ROCStories-2nd","ROC"
"A native girl in a green shirt readies a slingshot.","boy plays football","2","SNLI-train","SNLI-CONTRADICTION","SNLI"
"Nate was working on a batch of low paying tasks","The batch is a collection .","5","ROCStories","AGCI-WK","AGCI"
"A man and a woman standing on a landing between flights of stairs with a plate in the hands of the woman .","The landing is a structure .","5","SNLI-train","AGCI-WK","AGCI"
"A group of uniformed officers in a street wearing a mixture of gas masks and face shields .","The mixture is a collection .","3","SNLI-test","AGCI-WK","AGCI"
"The woman hit a midlife crisis.","She went sky diving.","4","COPA-premise","COPA-effect","COPA"
"Ike 's class was going on a field trip to the Navy submarine","Prisoners have the submarine .","2","ROCStories","AGCI-WK","AGCI"
"A man wearing a short-sleeved blue shirt and carrying a blue backpack while using snow walking sticks treks through the snow with a woman wearing a long-sleeved blue shirt and black pants also using snow walking sticks .","People die on the treks .","2","SNLI-test","AGCI-WK","AGCI"
"A man wearing a white hard hat and orange vest is working in a dusty environment .","A person works in the environment .","5","SNLI-train","AGCI-WK","AGCI"
"Four people are bandaging a head wound .","The wound is a damage .","5","SNLI-dev","AGCI-WK","AGCI"
"Several people are going to eat tripe .","The tripe enters a chain .","1","SNLI-train","AGCI-WK","AGCI"
"Customers stand in front of and talk with representatives sitting at desks with computers .","The representatives are a legislator .","3","SNLI-train","AGCI-WK","AGCI"
"A girl is upside-down on a trampoline and you can see her navel .","The navel is a theological linchpin .","1","SNLI-train","AGCI-WK","AGCI"
"Two men are sitting at a table in front of decorated birthday cake with rosebuds , candles , and a large light .","The rosebuds are to announce a birth .","1","SNLI-train","AGCI-WK","AGCI"
"George read that a farmer 's market would be nearby on the weekend","A person transits the market .","4","ROCStories","AGCI-WK","AGCI"
"There is a bum getting out of a subway car .","A person stays with the bum .","3","SNLI-train","AGCI-WK","AGCI"
"A child is looking at a red parking meter on the street .","A person quotes the meter .","2","SNLI-train","AGCI-WK","AGCI"
"A brown-haired woman wearing spectacles crafts jewelery by hand using a desk lamp .","The spectacles fall off a face .","4","SNLI-train","AGCI-WK","AGCI"
"A bald man picking up a blue crap with tongs and putting it into a pot on the stove","The crap is a bunk .","1","SNLI-train","AGCI-WK","AGCI"
"A child standing on a chair to shove his face into a fire by a candle, his negligent father watches on in bemusement.","a child is trying to try to find him .","3","SNLI-train","AGCI-NN","AGCI"
"Rena owns way too many objects","The objects are a goal .","3","ROCStories","AGCI-WK","AGCI"
"A public servant clears fallen leaves off a suburban sidewalk .","The servant is declared a leader .","2","SNLI-train","AGCI-WK","AGCI"
"The journey is temporarily delayed by mechanical malfunctions .","A launch is scrubbed due to the malfunctions .","3","SNLI-train","AGCI-WK","AGCI"
"Four musicians play their instruments on the street while a young man on a bike stands by to listen .","The musicians are a performer .","4","SNLI-train","AGCI-WK","AGCI"
"A group of people gather around a picnic table covered in chips and two liters of soda under a pavilion .","A person drinks the liters .","3","SNLI-train","AGCI-WK","AGCI"
"A guy surfing the web eating pizza.","The guy is eating food while online.","5","SNLI-train","SNLI-ENTAILMENT","SNLI"
"A little girl plays with a faucet .","The faucet is a regulator .","2","SNLI-dev","AGCI-WK","AGCI"
"workers at Roppolo 's pizzeria busy at work .","The pizzeria sells .","2","SNLI-train","AGCI-WK","AGCI"
"A group of girls are changing in the dressing rom.","Some girls are in a dressing room.","5","SNLI-train","SNLI-ENTAILMENT","SNLI"
"A full sized horse and rider guide a pint sized horse and rider through the stables .","A person keeps the stables .","4","SNLI-train","AGCI-WK","AGCI"
"One man and woman looking overs paper and two men looking through ledger .","The ledger hangs a suicide .","1","SNLI-train","AGCI-WK","AGCI"
"Middle school aged kids are showing their school spirit at a pep rally .","A man shows the spirit .","4","SNLI-train","AGCI-WK","AGCI"
"A long jumper takes flight in an attempt to jump the longest distance possible in a track competition .","The jumper is a person .","5","SNLI-test","AGCI-WK","AGCI"
"A man , with a blue wrapping around his foot , is about to kick another man , with a red cloth hanging from his belt , in the head .","The wrapping is a bandage .","5","SNLI-test","AGCI-WK","AGCI"
"Two male hockey players from opposite teams are posed on the ice rink with their hockey sticks ready .","Police surround the rink .","2","SNLI-train","AGCI-WK","AGCI"
"A police officer booking a criminal .","A thing is considered as the criminal .","1","SNLI-train","AGCI-WK","AGCI"
"students studying at the pavilion restaurant in their campus getting ready for exams .","A person has to pass the exams .","5","SNLI-train","AGCI-WK","AGCI"
"Homosexuals dancing in showers .","The homosexuals are a person .","5","SNLI-train","AGCI-WK","AGCI"
"I was at the mall yesterday to find the perfect dress","The mall is optimized .","3","ROCStories","AGCI-WK","AGCI"
"A woman holding a red cup with a straw in it sits in front of a man and a woman looking at a book .","The straw seems to be a decree .","1","SNLI-dev","AGCI-WK","AGCI"
"An old man walked into our classroom","The class was boring since we couldn't talk and had to work quietly.","3","ROCStories-1st","ROCStories-3rd","ROC"
"Little girl in her bridesmaid dress sitting down with the bouquet .","The bridesmaid survives .","4","SNLI-train","AGCI-WK","AGCI"
"Soldiers march in their olive drab uniforms carrying weapons from the WWII era.","The soldiers are marching in a straight line.","3","SNLI-train","SNLI-NEUTRAL","SNLI"
"A man dressed in a white robe and black jacket with a scarf on his head stands in the doorway holding some sort of animal head in his hands .","A person loves the sort .","1","SNLI-train","AGCI-WK","AGCI"
"People sitting down in a shipyard with boats tied down in the background.","People standing in a shipyard.","3","SNLI-train","SNLI-CONTRADICTION","SNLI"
"An Indian dancer or actress is performing on stage in the spotlight , seated on the floor in a dramatic pose and wearing a blue dress .","A person works as the actress .","5","SNLI-train","AGCI-WK","AGCI"
"A race car on a track has flames shooting from the rear .","The rear is a side .","5","SNLI-train","AGCI-WK","AGCI"
"A burst of fire emerges from an experimenter in a darkened backyard .","The experimenter is a research worker .","3","SNLI-train","AGCI-WK","AGCI"
"Several people are walking near an ostrich .","A person shoots the ostrich .","2","SNLI-train","AGCI-WK","AGCI"
"Ian wanted to become a male model","They told him to get a bunch of publicity photographs.","4","ROCStories-1st","ROCStories-3rd","ROC"
"People protesting ICE raids in front of a school .","The raids happen .","3","SNLI-dev","AGCI-WK","AGCI"
"Mike needed change to put air in his tire","The tire is authentic .","4","ROCStories","AGCI-WK","AGCI"
"A youth skateboards by a mural of a griffin wielding a flaming sword .","The sword is a weapon .","5","SNLI-test","AGCI-WK","AGCI"
"man reading a navigator on a boat .","The navigator is killed .","1","SNLI-train","AGCI-WK","AGCI"
"A male percussionist plays the marimba with a look of concentration .","The marimba is projected on a field .","1","SNLI-train","AGCI-WK","AGCI"
"A bedroom which contains a bed which has a striped bedspread and dust ruffle, is being vacuumed by a man wear navy shorts and t-shirt.","a man is using a spray .","2","SNLI-train","AGCI-NN","AGCI"
"The lamp in my foyer broke","The foyer falls silent .","2","ROCStories","AGCI-WK","AGCI"
"Max was trying to buy a soda","The soda is hard to find .","3","ROCStories","AGCI-WK","AGCI"
"The phone vibrated violently next to Matt","The phone is attached through a jack .","2","ROCStories","AGCI-WK","AGCI"
"White water rafter goes through a rough spot .","The rafter grabs a kayak .","3","SNLI-train","AGCI-WK","AGCI"
"people walk by a busy city center as makers mark advertises three billboards .","A person offers the mark .","2","SNLI-train","AGCI-WK","AGCI"
"A football player in red being tackled by opponents in white .","The being is protected .","1","SNLI-train","AGCI-WK","AGCI"
"Lulu and her friends decided to go to the new restaurant downtown","The downtown is closed .","2","ROCStories","AGCI-WK","AGCI"
"A man wearing a snorkel and goggles gives a thumbs up as he and another person speed through the water .","A person chuckles in the snorkel .","1","SNLI-test","AGCI-WK","AGCI"
"Chris has always been disgusted that people eat raw oysters","The oysters are copious .","2","ROCStories","AGCI-WK","AGCI"
"A crowd watching a duo in blue dance on a stage .","The duo separates .","3","SNLI-test","AGCI-WK","AGCI"
"Person carrying a bunch stuff in a shoulder sac walking along a sidewalk .","The sac is delayed .","1","SNLI-train","AGCI-WK","AGCI"
"3 Cowboys at the rodeo , one happens to have excellent pose timing .","The timing is a temporal arrangement .","5","SNLI-train","AGCI-WK","AGCI"
"At a convention , a man takes a phone call behind the booth where he is selling things while others examine his merchandise .","The convention comes into a force .","1","SNLI-dev","AGCI-WK","AGCI"
"Two people are setting up a photo shoot of a mobile in a white room .","A person enjoys the shoot .","3","SNLI-test","AGCI-WK","AGCI"
"A big match being watched by thousands of people , and a man holding his shirt in his hands is climbing an iron tower .","The thousands are involved .","2","SNLI-train","AGCI-WK","AGCI"
"A person in a yellow slicker is driving a motorboat next to the beach .","The slicker is caught .","2","SNLI-dev","AGCI-WK","AGCI"
"A bike rider with khaki green shorts , a blue shirt , backpack and helmet is riding on the street near a red station wagon that is missing a hubcap on the back drivers side .","The hubcap is a cap .","5","SNLI-train","AGCI-WK","AGCI"
"A man in deep thought while the woman wits with much patience .","The patience is a prime concern .","2","SNLI-train","AGCI-WK","AGCI"
"Two children are standing on a green metal fence .","The fence is built .","3","SNLI-train","AGCI-WK","AGCI"
"A large brunette mom walks with her son holding a leash attached to his dog-shaped backpack .","The mom is in the searing heat .","3","SNLI-train","AGCI-WK","AGCI"
"A girl wearing a black bikini jumps into a large body of water while an inflatable zebra floats above her head .","The zebra manages to get out of water .","1","SNLI-train","AGCI-WK","AGCI"
"Two people are fighting in full protective gear and helmets .","The gear is a wheel .","1","SNLI-train","AGCI-WK","AGCI"
"A grim looking man with sunglasses pilots a boat .","A bout is useful for the pilots .","1","SNLI-test","AGCI-WK","AGCI"
"A black dog is running in the yard","The yard is convenient .","3","SNLI-train","AGCI-WK","AGCI"
"Young , bohemian men and women dance outside .","A tournament is sanctioned by the bohemian .","1","SNLI-train","AGCI-WK","AGCI"
"Daniel did n't know how to ride a motorcycle","The ride is a journey .","5","ROCStories","AGCI-WK","AGCI"
"A woman with a yellow shoulder bag gives a man a massage .","A person goes for the massage .","4","SNLI-train","AGCI-WK","AGCI"
"A white-haired man in a white shirt looks at information in an orange-red binder .","The binder is a harvester .","1","SNLI-dev","AGCI-WK","AGCI"
"As a child I - really liked roasted marshmallows","I decided to roast some marshmallows myself.","5","ROCStories-1st","ROCStories-2nd","ROC"
"Hillary and her husband went to a restaurant by the sea","A waiter walked over and took their order.","5","ROCStories-1st","ROCStories-2nd","ROC"
